ダウンロードした時刻：2021/01/11 10:40:31

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2019/5/1,17.5,8,12.13,8
2019/5/2,17.7,8,19.17,8
2019/5/3,17.7,8,24.36,8
2019/5/4,17.6,8,25.64,8
2019/5/5,18.2,8,26.70,8
2019/5/6,18.6,8,13.05,8
2019/5/7,12.3,8,9.72,8
2019/5/8,14.5,8,29.33,8
2019/5/9,17.4,8,17.85,8
2019/5/10,18.6,8,26.85,8
2019/5/11,19.2,8,22.07,8
2019/5/12,14.6,8,23.57,8
2019/5/13,15.4,8,21.68,8
2019/5/14,17.8,8,9.35,8
2019/5/15,18.0,8,17.72,8
2019/5/16,18.5,8,28.77,8
2019/5/17,18.8,8,29.80,8
2019/5/18,18.8,8,20.07,8
2019/5/19,19.2,8,21.98,8
2019/5/20,19.6,8,15.27,8
2019/5/21,18.8,8,2.69,8
2019/5/22,17.5,8,26.59,8
2019/5/23,18.5,8,29.18,8
2019/5/24,20.9,8,29.25,8
2019/5/25,22.7,8,28.96,8
2019/5/26,24.3,8,27.65,8
2019/5/27,25.3,8,27.88,8
2019/5/28,23.0,8,13.25,8
2019/5/29,18.8,8,11.92,8
2019/5/30,19.9,8,29.71,8
2019/5/31,21.0,8,14.77,8
2019/6/1,20.7,8,23.28,8
2019/6/2,21.4,8,13.04,8
2019/6/3,21.3,8,24.77,8
2019/6/4,21.4,8,23.74,8
2019/6/5,21.6,8,15.63,8
2019/6/6,23.6,8,26.16,8
2019/6/7,19.8,8,3.23,8
2019/6/8,19.1,8,5.61,8
2019/6/9,16.9,8,9.73,8
2019/6/10,16.1,8,3.32,8
2019/6/11,18.0,8,15.00,8
2019/6/12,17.1,8,14.93,8
2019/6/13,20.5,8,29.86,8
2019/6/14,21.0,8,24.03,8
2019/6/15,17.4,8,4.01,8
2019/6/16,23.2,8,24.81,8
2019/6/17,22.5,8,28.94,8
2019/6/18,22.2,8,23.63,8
2019/6/19,23.2,8,22.97,8
2019/6/20,22.0,8,21.61,8
2019/6/21,23.0,8,13.46,8
2019/6/22,21.9,8,11.10,8
2019/6/23,20.2,8,7.60,8
2019/6/24,18.5,8,7.81,8
2019/6/25,20.9,8,20.72,8
2019/6/26,23.6,8,26.79,8
2019/6/27,25.1,8,15.00,8
2019/6/28,23.5,8,9.34,8
2019/6/29,19.4,8,3.76,8
2019/6/30,20.9,8,2.86,8
2019/7/1,21.7,8,5.67,8
2019/7/2,23.2,8,12.95,8
2019/7/3,23.5,8,15.18,8
2019/7/4,21.6,8,4.48,8
2019/7/5,20.7,8,10.81,8
2019/7/6,21.0,8,9.14,8
2019/7/7,20.4,8,7.58,8
2019/7/8,20.0,8,14.34,8
2019/7/9,18.9,8,7.30,8
2019/7/10,20.0,8,22.07,8
2019/7/11,20.1,8,15.22,8
2019/7/12,19.7,8,8.17,8
2019/7/13,23.0,8,15.26,8
2019/7/14,21.3,8,5.58,8
2019/7/15,21.0,8,10.71,8
2019/7/16,20.6,8,7.50,8
2019/7/17,23.1,8,14.57,8
2019/7/18,24.2,8,9.46,8
2019/7/19,26.4,8,17.51,8
2019/7/20,25.9,8,15.15,8
2019/7/21,22.7,8,6.66,8
2019/7/22,21.7,8,3.81,8
2019/7/23,23.8,8,7.94,8
2019/7/24,26.2,8,18.24,8
2019/7/25,27.3,8,17.11,8
2019/7/26,28.7,8,26.37,8
2019/7/27,28.3,8,23.83,8
2019/7/28,27.4,8,18.67,8
2019/7/29,28.4,8,21.79,8
2019/7/30,28.9,8,25.10,8
2019/7/31,29.3,8,19.89,8
2019/8/1,29.9,8,24.89,8
2019/8/2,30.0,8,22.78,8
2019/8/3,29.4,8,25.38,8
2019/8/4,28.5,8,24.55,8
2019/8/5,28.8,8,22.08,8
2019/8/6,29.6,8,21.59,8
2019/8/7,29.3,8,22.12,8
2019/8/8,29.1,8,23.64,8
2019/8/9,29.8,8,22.46,8
2019/8/10,28.8,8,20.16,8
2019/8/11,26.5,8,19.21,8
2019/8/12,27.4,8,15.67,8
2019/8/13,28.6,8,18.98,8
2019/8/14,28.2,8,9.76,8
2019/8/15,28.9,8,16.84,8
2019/8/16,28.5,8,9.63,8
2019/8/17,29.5,8,24.14,8
2019/8/18,28.2,8,22.38,8
2019/8/19,26.5,8,11.32,8
2019/8/20,24.7,8,9.17,8
2019/8/21,25.4,8,19.79,8
2019/8/22,24.8,8,8.12,8
2019/8/23,25.5,8,6.50,8
2019/8/24,26.2,8,18.04,8
2019/8/25,25.1,8,20.80,8
2019/8/26,23.9,8,18.28,8
2019/8/27,24.9,8,13.72,8
2019/8/28,24.9,8,6.50,8
2019/8/29,27.4,8,19.03,8
2019/8/30,24.7,8,5.13,8
2019/8/31,26.2,8,14.15,8
2019/9/1,26.2,8,15.53,8
2019/9/2,25.9,8,17.59,8
2019/9/3,24.0,8,8.10,8
2019/9/4,22.8,8,6.02,8
2019/9/5,24.9,8,11.48,8
2019/9/6,26.8,8,20.52,8
2019/9/7,27.3,8,19.37,8
2019/9/8,27.8,8,15.79,8
2019/9/9,27.9,8,10.31,8
2019/9/10,28.8,8,20.27,8
2019/9/11,26.5,8,13.09,8
2019/9/12,23.9,8,21.47,8
2019/9/13,20.7,8,5.84,8
2019/9/14,21.4,8,10.11,8
2019/9/15,23.9,8,20.50,8
2019/9/16,23.0,8,4.32,8
2019/9/17,24.7,8,20.04,8
2019/9/18,20.3,8,9.10,8
2019/9/19,20.3,8,18.82,8
2019/9/20,21.0,8,17.90,8
